kind,object_name,detail,extra
column,coaching_tasks,created_at,timestamp with time zone NOT NULL
column,coaching_tasks,detail,text
column,coaching_tasks,due_date,date
column,coaching_tasks,id,uuid NOT NULL
column,coaching_tasks,metric_id,text
column,coaching_tasks,relationship_id,uuid NOT NULL
column,coaching_tasks,result,numeric
column,coaching_tasks,status,text NOT NULL
column,coaching_tasks,target,numeric
column,coaching_tasks,title,text NOT NULL
column,coaching_tasks,updated_at,timestamp with time zone NOT NULL
column,drills,ball,text
column,drills,bowler_name,text NOT NULL
column,drills,created_at,timestamp with time zone NOT NULL
column,drills,custom_pins,jsonb
column,drills,custom_target,text
column,drills,date,date NOT NULL
column,drills,id,uuid NOT NULL
column,drills,made,integer NOT NULL
column,drills,missed,integer NOT NULL
column,drills,notes,text
column,drills,target,text NOT NULL
column,drills,user_id,uuid
column,friendships,addressee_id,uuid NOT NULL
column,friendships,created_at,timestamp with time zone NOT NULL
column,friendships,id,uuid NOT NULL
column,friendships,requester_id,uuid NOT NULL
column,friendships,responded_at,timestamp with time zone
column,friendships,status,text NOT NULL
column,hidden_leagues,created_at,timestamp with time zone NOT NULL
column,hidden_leagues,id,uuid NOT NULL
column,hidden_leagues,league_id,uuid
column,hidden_leagues,user_id,uuid
column,imported_scores,bowler_name,text NOT NULL
column,imported_scores,bowler_user_id,uuid
column,imported_scores,corrected_by,uuid
column,imported_scores,corrected_scores,jsonb
column,imported_scores,corrected_shots,jsonb
column,imported_scores,created_at,timestamp with time zone NOT NULL
column,imported_scores,date,date NOT NULL
column,imported_scores,id,uuid NOT NULL
column,imported_scores,imported_scores,jsonb NOT NULL
column,imported_scores,imported_shots,jsonb
column,imported_scores,league_id,uuid
column,imported_scores,note,text
column,imported_scores,responded_at,timestamp with time zone
column,imported_scores,status,text NOT NULL
column,imported_scores,team_id,uuid
column,imported_scores,updated_at,timestamp with time zone NOT NULL
column,imported_scores,uploaded_by,uuid NOT NULL
column,lane_patterns,created_at,timestamp with time zone NOT NULL
column,lane_patterns,date,date NOT NULL
column,lane_patterns,id,uuid NOT NULL
column,lane_patterns,lane,text NOT NULL
column,lane_patterns,league_id,uuid
column,lane_patterns,length,text NOT NULL
column,lane_patterns,pattern_name,text NOT NULL
column,lane_patterns,pattern_type,text NOT NULL
column,lane_patterns,ratio,text NOT NULL
column,lane_patterns,team_id,uuid
column,lane_patterns,updated_at,timestamp with time zone NOT NULL
column,lane_patterns,volume,text NOT NULL
column,leagues,center_id,uuid
column,leagues,created_at,timestamp with time zone NOT NULL
column,leagues,created_by,uuid
column,leagues,end_date,date
column,leagues,id,uuid NOT NULL
column,leagues,name,text NOT NULL
column,leagues,start_date,date
column,manual_scores,ball,text
column,manual_scores,bowler_name,text NOT NULL
column,manual_scores,created_at,timestamp with time zone NOT NULL
column,manual_scores,date,date NOT NULL
column,manual_scores,game,integer NOT NULL
column,manual_scores,id,uuid NOT NULL
column,manual_scores,league_id,uuid
column,manual_scores,score,integer
column,manual_scores,surface,text
column,manual_scores,updated_at,timestamp with time zone NOT NULL
column,manual_scores,user_id,uuid
column,matches,created_at,timestamp with time zone NOT NULL
column,matches,date,date NOT NULL
column,matches,games,jsonb NOT NULL
column,matches,handicap,text NOT NULL
column,matches,id,uuid NOT NULL
column,matches,league_id,uuid
column,matches,opponent,text NOT NULL
column,matches,series,boolean
column,matches,team_id,uuid
column,matches,updated_at,timestamp with time zone NOT NULL
column,oil_patterns,created_at,timestamp with time zone NOT NULL
column,oil_patterns,created_by,uuid
column,oil_patterns,forward_ml,numeric
column,oil_patterns,id,uuid NOT NULL
column,oil_patterns,length_feet,numeric
column,oil_patterns,name,text NOT NULL
column,oil_patterns,ratio,text
column,oil_patterns,reverse_ml,numeric
column,oil_patterns,series,text
column,oil_patterns,source_note,text
column,oil_patterns,verified,boolean NOT NULL
column,oil_patterns,volume_ml,numeric
column,oil_patterns,year,integer
column,pending_invites,accepted_at,timestamp with time zone
column,pending_invites,accepted_user_id,uuid
column,pending_invites,code_expires_at,timestamp with time zone
column,pending_invites,created_at,timestamp with time zone NOT NULL
column,pending_invites,created_by,uuid
column,pending_invites,declined_at,timestamp with time zone
column,pending_invites,id,uuid NOT NULL
column,pending_invites,invited_email,text
column,pending_invites,invited_name,text NOT NULL
column,pending_invites,is_sub,boolean NOT NULL
column,pending_invites,left_handed,boolean NOT NULL
column,pending_invites,lineup_position,integer
column,pending_invites,signup_code,text
column,pending_invites,team_id,uuid NOT NULL
column,profiles,created_at,timestamp with time zone NOT NULL
column,profiles,display_name,text NOT NULL
column,profiles,id,uuid NOT NULL
column,sessions,average,integer
column,sessions,balls_used,jsonb NOT NULL
column,sessions,bowler_name,text NOT NULL
column,sessions,created_at,timestamp with time zone NOT NULL
column,sessions,date,date NOT NULL
column,sessions,high_game_cost,numeric[] NOT NULL
column,sessions,high_game_winnings,numeric[] NOT NULL
column,sessions,id,uuid NOT NULL
column,sessions,jackpot_winnings,numeric NOT NULL
column,sessions,league_id,uuid
column,sessions,misses,jsonb NOT NULL
column,sessions,poker_dollar,jsonb NOT NULL
column,sessions,poker_dollar_cost,numeric[] NOT NULL
column,sessions,poker_quarter,jsonb NOT NULL
column,sessions,poker_quarter_cost,numeric[] NOT NULL
column,sessions,prebowled_on,date
column,sessions,releases,jsonb NOT NULL
column,sessions,ringing_tens,integer NOT NULL
column,sessions,scores,integer[] NOT NULL
column,sessions,shot_count,integer NOT NULL
column,sessions,single_pin_leaves,integer NOT NULL
column,sessions,single_pin_spares,integer NOT NULL
column,sessions,spare_attempts,integer NOT NULL
column,sessions,spares_made,integer NOT NULL
column,sessions,splits,integer NOT NULL
column,sessions,splits_converted,integer NOT NULL
column,sessions,strikes,integer NOT NULL
column,sessions,team_id,uuid
column,sessions,ten_pin_leaves,integer NOT NULL
column,sessions,three_six_nine_cost,numeric NOT NULL
column,sessions,three_six_nine_winnings,numeric NOT NULL
column,sessions,total,integer
column,sessions,updated_at,timestamp with time zone NOT NULL
column,sessions,user_id,uuid NOT NULL
column,sessions,weak_tens,integer NOT NULL
column,shots,actual_arrows,numeric
column,shots,actual_board,numeric
column,shots,axis_rotation,numeric
column,shots,ball,text
column,shots,ball_change_reason,jsonb NOT NULL
column,shots,ball_num,integer
column,shots,ball_speed,numeric
column,shots,bowler_name,text NOT NULL
column,shots,created_at,timestamp with time zone NOT NULL
column,shots,date,date NOT NULL
column,shots,display_leave,jsonb NOT NULL
column,shots,display_result,text NOT NULL
column,shots,frame,integer NOT NULL
column,shots,game,integer NOT NULL
column,shots,heel_number,text
column,shots,id,uuid NOT NULL
column,shots,imported_from,uuid
column,shots,lane,text
column,shots,league_id,uuid
column,shots,miss,jsonb NOT NULL
column,shots,notes,text NOT NULL
column,shots,other_leave,jsonb NOT NULL
column,shots,pin_count,text NOT NULL
column,shots,release,text NOT NULL
column,shots,result,text NOT NULL
column,shots,rev_rate,numeric
column,shots,sole_number,text
column,shots,spare_made,text NOT NULL
column,shots,starting_board,text
column,shots,strike_description,text NOT NULL
column,shots,surface,text
column,shots,target_arrows,text
column,shots,team_id,uuid
column,shots,updated_at,timestamp with time zone NOT NULL
column,shots,user_id,uuid NOT NULL
column,sync_tombstones,deleted_at,timestamp with time zone NOT NULL
column,sync_tombstones,id,uuid NOT NULL
column,sync_tombstones,row_id,uuid NOT NULL
column,sync_tombstones,table_name,text NOT NULL
column,sync_tombstones,user_id,uuid NOT NULL
column,team_members,is_sub,boolean NOT NULL
column,team_members,joined_at,timestamp with time zone NOT NULL
column,team_members,left_handed,boolean NOT NULL
column,team_members,lineup_position,integer
column,team_members,team_id,uuid NOT NULL
column,team_members,user_id,uuid NOT NULL
column,teams,created_at,timestamp with time zone NOT NULL
column,teams,created_by,uuid
column,teams,id,uuid NOT NULL
column,teams,league_id,uuid NOT NULL
column,teams,name,text NOT NULL
column,tournaments,bowler_name,text NOT NULL
column,tournaments,buy_in,numeric
column,tournaments,center,text
column,tournaments,created_at,timestamp with time zone NOT NULL
column,tournaments,days,jsonb NOT NULL
column,tournaments,id,uuid NOT NULL
column,tournaments,match_play,jsonb NOT NULL
column,tournaments,name,text NOT NULL
column,tournaments,notes,text
column,tournaments,placement,text
column,tournaments,placement_note,text
column,tournaments,side_pots,jsonb NOT NULL
column,tournaments,updated_at,timestamp with time zone NOT NULL
column,tournaments,user_id,uuid
column,tournaments,winnings,numeric
column,user_preferences,preferences,jsonb NOT NULL
column,user_preferences,updated_at,timestamp with time zone
column,user_preferences,user_id,uuid NOT NULL
constraint,api_usage,api_usage_pkey,PRIMARY KEY (id)
constraint,api_usage,api_usage_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,arsenals,arsenal_pkey,PRIMARY KEY (id)
constraint,arsenals,arsenals_core_type_check,"CHECK (((core_type IS NULL) OR (core_type = ANY (ARRAY['symmetric'::text, 'asymmetric'::text]))))"
constraint,arsenals,arsenals_coverstock_check,"CHECK (((coverstock IS NULL) OR (coverstock = ANY (ARRAY['solid'::text, 'pearl'::text, 'hybrid'::text]))))"
constraint,arsenals,arsenals_group_id_fkey,FOREIGN KEY (group_id) REFERENCES ball_groups(id) ON DELETE SET NULL
constraint,arsenals,arsenals_layout_system_check,"CHECK (((layout_system IS NULL) OR (layout_system = ANY (ARRAY['dual_angle'::text, 'vls'::text, '2ls'::text]))))"
constraint,bags,bags_bag_type_check,"CHECK ((bag_type = ANY (ARRAY['league'::text, 'tournament'::text])))"
constraint,bags,bags_created_by_bowler_name_name_key,"UNIQUE (created_by, bowler_name, name)"
constraint,bags,bags_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,bags,bags_pkey,PRIMARY KEY (id)
constraint,ball_bags,ball_bags_bag_id_fkey,FOREIGN KEY (bag_id) REFERENCES bags(id) ON DELETE CASCADE
constraint,ball_bags,ball_bags_created_by_bowler_name_ball_bag_id_key,"UNIQUE (created_by, bowler_name, ball, bag_id)"
constraint,ball_bags,ball_bags_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,ball_bags,ball_bags_pkey,PRIMARY KEY (id)
constraint,ball_confirmations,ball_confirmations_confirmed_by_fkey,FOREIGN KEY (confirmed_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,ball_confirmations,ball_confirmations_pkey,PRIMARY KEY (id)
constraint,ball_confirmations,ball_confirmations_submission_id_confirmed_by_key,"UNIQUE (submission_id, confirmed_by)"
constraint,ball_confirmations,ball_confirmations_submission_id_fkey,FOREIGN KEY (submission_id) REFERENCES ball_submissions(id) ON DELETE CASCADE
constraint,ball_confirmations,ball_confirmations_vote_check,"CHECK ((vote = ANY (ARRAY['approve'::text, 'reject'::text])))"
constraint,ball_groups,ball_groups_created_by_bowler_name_name_key,"UNIQUE (created_by, bowler_name, name)"
constraint,ball_groups,ball_groups_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,ball_groups,ball_groups_pkey,PRIMARY KEY (id)
constraint,ball_submissions,ball_submissions_pkey,PRIMARY KEY (id)
constraint,ball_submissions,ball_submissions_submitted_by_ball_key_key,"UNIQUE (submitted_by, ball_key)"
constraint,ball_submissions,ball_submissions_submitted_by_fkey,FOREIGN KEY (submitted_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,bowler_goals,bowler_goals_created_by_bowler_name_key,"UNIQUE (created_by, bowler_name)"
constraint,bowler_goals,bowler_goals_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,bowler_goals,bowler_goals_pkey,PRIMARY KEY (id)
constraint,bowler_names,bowler_names_pkey,PRIMARY KEY (id)
constraint,bowler_profiles,bowler_profiles_created_by_bowler_name_key,"UNIQUE (created_by, bowler_name)"
constraint,bowler_profiles,bowler_profiles_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,bowler_profiles,bowler_profiles_owner_name_key,"UNIQUE (created_by, bowler_name)"
constraint,bowler_profiles,bowler_profiles_pkey,PRIMARY KEY (id)
constraint,bowling_centers,bowling_centers_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE SET NULL
constraint,bowling_centers,bowling_centers_here_id_key,UNIQUE (here_id)
constraint,bowling_centers,bowling_centers_pkey,PRIMARY KEY (id)
constraint,coaching_notes,coaching_notes_author_id_fkey,FOREIGN KEY (author_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,coaching_notes,coaching_notes_pkey,PRIMARY KEY (id)
constraint,coaching_notes,coaching_notes_relationship_id_fkey,FOREIGN KEY (relationship_id) REFERENCES coaching_relationships(id) ON DELETE CASCADE
constraint,coaching_relationships,coaching_relationships_bowler_id_fkey,FOREIGN KEY (bowler_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,coaching_relationships,coaching_relationships_check,CHECK ((coach_id <> bowler_id))
constraint,coaching_relationships,coaching_relationships_coach_id_bowler_id_key,"UNIQUE (coach_id, bowler_id)"
constraint,coaching_relationships,coaching_relationships_coach_id_fkey,FOREIGN KEY (coach_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,coaching_relationships,coaching_relationships_pkey,PRIMARY KEY (id)
constraint,coaching_relationships,coaching_relationships_requested_by_fkey,FOREIGN KEY (requested_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,coaching_relationships,coaching_relationships_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'accepted'::text, 'declined'::text])))"
constraint,coaching_tasks,coaching_tasks_assigned_by_fkey,FOREIGN KEY (assigned_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,coaching_tasks,coaching_tasks_pkey,PRIMARY KEY (id)
constraint,coaching_tasks,coaching_tasks_relationship_id_fkey,FOREIGN KEY (relationship_id) REFERENCES coaching_relationships(id) ON DELETE CASCADE
constraint,coaching_tasks,coaching_tasks_status_check,"CHECK ((status = ANY (ARRAY['open'::text, 'completed'::text, 'attempted'::text])))"
constraint,drills,drills_pkey,PRIMARY KEY (id)
constraint,drills,drills_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,friendships,friendships_addressee_id_fkey,FOREIGN KEY (addressee_id) REFERENCES profiles(id) ON DELETE CASCADE
constraint,friendships,friendships_check,CHECK ((requester_id <> addressee_id))
constraint,friendships,friendships_pkey,PRIMARY KEY (id)
constraint,friendships,friendships_requester_id_addressee_id_key,"UNIQUE (requester_id, addressee_id)"
constraint,friendships,friendships_requester_id_fkey,FOREIGN KEY (requester_id) REFERENCES profiles(id) ON DELETE CASCADE
constraint,friendships,friendships_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'accepted'::text, 'declined'::text])))"
constraint,hidden_leagues,hidden_leagues_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE CASCADE
constraint,hidden_leagues,hidden_leagues_pkey,PRIMARY KEY (id)
constraint,hidden_leagues,hidden_leagues_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,hidden_leagues,hidden_leagues_user_id_league_id_key,"UNIQUE (user_id, league_id)"
constraint,imported_scores,imported_scores_bowler_user_id_fkey,FOREIGN KEY (bowler_user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,imported_scores,imported_scores_corrected_by_fkey,FOREIGN KEY (corrected_by) REFERENCES auth.users(id) ON DELETE SET NULL
constraint,imported_scores,imported_scores_pkey,PRIMARY KEY (id)
constraint,imported_scores,imported_scores_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'verified'::text, 'corrected'::text, 'rejected'::text])))"
constraint,imported_scores,imported_scores_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,lane_patterns,lane_patterns_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE SET NULL
constraint,lane_patterns,lane_patterns_pkey,PRIMARY KEY (id)
constraint,lane_patterns,lane_patterns_team_id_date_lane_key,"UNIQUE (team_id, date, lane)"
constraint,lane_patterns,lane_patterns_team_id_fkey,FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE
constraint,leagues,leagues_center_id_fkey,FOREIGN KEY (center_id) REFERENCES bowling_centers(id) ON DELETE SET NULL
constraint,leagues,leagues_created_by_fkey,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
constraint,leagues,leagues_pkey,PRIMARY KEY (id)
constraint,manual_scores,manual_scores_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE CASCADE
constraint,manual_scores,manual_scores_pkey,PRIMARY KEY (id)
constraint,manual_scores,manual_scores_slot_key,"UNIQUE (user_id, bowler_name, league_id, date, game)"
constraint,manual_scores,manual_scores_user_id_bowler_name_league_id_date_game_key,"UNIQUE (user_id, bowler_name, league_id, date, game)"
constraint,manual_scores,manual_scores_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,matches,matches_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE SET NULL
constraint,matches,matches_pkey,PRIMARY KEY (id)
constraint,matches,matches_team_id_date_key,"UNIQUE (team_id, date)"
constraint,matches,matches_team_id_fkey,FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE
constraint,oil_patterns,oil_patterns_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE SET NULL
constraint,oil_patterns,oil_patterns_name_key,UNIQUE (name)
constraint,oil_patterns,oil_patterns_pkey,PRIMARY KEY (id)
constraint,pending_invites,pending_invites_accepted_user_id_fkey,FOREIGN KEY (accepted_user_id) REFERENCES profiles(id) ON DELETE SET NULL
constraint,pending_invites,pending_invites_created_by_fkey,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
constraint,pending_invites,pending_invites_pkey,PRIMARY KEY (id)
constraint,pending_invites,pending_invites_team_id_fkey,FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE
constraint,pending_invites,pending_invites_team_id_invited_email_key,"UNIQUE (team_id, invited_email)"
constraint,profiles,profiles_id_fkey,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,profiles,profiles_pkey,PRIMARY KEY (id)
constraint,sessions,sessions_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE SET NULL
constraint,sessions,sessions_pkey,PRIMARY KEY (id)
constraint,sessions,sessions_team_id_fkey,FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE SET NULL
constraint,sessions,sessions_user_id_bowler_name_league_id_date_key,"UNIQUE (user_id, bowler_name, league_id, date)"
constraint,sessions,sessions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
constraint,shots,shots_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE SET NULL
constraint,shots,shots_pkey,PRIMARY KEY (id)
constraint,shots,shots_team_id_fkey,FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE SET NULL
constraint,shots,shots_user_id_fkey,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
constraint,sync_tombstones,sync_tombstones_pkey,PRIMARY KEY (id)
constraint,team_members,team_members_pkey,"PRIMARY KEY (team_id, user_id)"
constraint,team_members,team_members_team_id_fkey,FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE
constraint,team_members,team_members_user_id_fkey,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
constraint,teams,teams_created_by_fkey,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
constraint,teams,teams_league_id_fkey,FOREIGN KEY (league_id) REFERENCES leagues(id) ON DELETE CASCADE
constraint,teams,teams_pkey,PRIMARY KEY (id)
constraint,tournaments,tournaments_pkey,PRIMARY KEY (id)
constraint,tournaments,tournaments_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,user_preferences,user_preferences_pkey,PRIMARY KEY (user_id)
constraint,user_preferences,user_preferences_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
constraint,user_preferences,user_preferences_user_id_key,UNIQUE (user_id)
policy,arsenals,teammates can view each other's arsenal entries,"SELECT :: (EXISTS ( SELECT 1
   FROM (team_members me
     JOIN team_members them ON ((them.team_id = me.team_id)))
  WHERE ((me.user_id = auth.uid()) AND (them.user_id = arsenals.created_by)))) :: check none :: to authenticated"
policy,arsenals,users can add their own arsenal entries,INSERT :: no using :: check (created_by = auth.uid()) :: to authenticated
policy,arsenals,users can remove their own arsenal entries,DELETE :: (created_by = auth.uid()) :: check none :: to authenticated
policy,arsenals,users can update their own arsenal entries,UPDATE :: (created_by = auth.uid()) :: check (created_by = auth.uid()) :: to authenticated
policy,arsenals,users can view their own arsenal entries,SELECT :: (created_by = auth.uid()) :: check none :: to authenticated
policy,bags,teammates can view each other's bags,"SELECT :: (EXISTS ( SELECT 1
   FROM (team_members me
     JOIN team_members them ON ((them.team_id = me.team_id)))
  WHERE ((me.user_id = auth.uid()) AND (them.user_id = bags.created_by)))) :: check none :: to authenticated"
policy,bags,users can delete their own bags,DELETE :: (created_by = auth.uid()) :: check none :: to authenticated
policy,bags,users can insert their own bags,INSERT :: no using :: check (created_by = auth.uid()) :: to authenticated
policy,bags,users can update their own bags,UPDATE :: (created_by = auth.uid()) :: check (created_by = auth.uid()) :: to authenticated
policy,bags,users can view their own bags,SELECT :: (created_by = auth.uid()) :: check none :: to authenticated
policy,ball_bags,teammates can view each other's ball bag assignments,"SELECT :: (EXISTS ( SELECT 1
   FROM (team_members me
     JOIN team_members them ON ((them.team_id = me.team_id)))
  WHERE ((me.user_id = auth.uid()) AND (them.user_id = ball_bags.created_by)))) :: check none :: to authenticated"
policy,ball_bags,users can delete their own ball bag assignments,DELETE :: (created_by = auth.uid()) :: check none :: to authenticated
policy,ball_bags,users can insert their own ball bag assignments,INSERT :: no using :: check (created_by = auth.uid()) :: to authenticated
policy,ball_bags,users can update their own ball bag assignments,UPDATE :: (created_by = auth.uid()) :: check (created_by = auth.uid()) :: to authenticated
policy,ball_bags,users can view their own ball bag assignments,SELECT :: (created_by = auth.uid()) :: check none :: to authenticated
policy,ball_confirmations,anyone can read confirmations,SELECT :: (auth.uid() IS NOT NULL) :: check none :: to authenticated
policy,ball_confirmations,users can change their own vote,UPDATE :: (confirmed_by = auth.uid()) :: check (confirmed_by = auth.uid()) :: to authenticated
policy,ball_confirmations,users can confirm as themselves,INSERT :: no using :: check (confirmed_by = auth.uid()) :: to authenticated
policy,ball_confirmations,users can withdraw their own confirmation,DELETE :: (confirmed_by = auth.uid()) :: check none :: to authenticated
policy,ball_groups,teammates can view each other's ball groups,"SELECT :: (EXISTS ( SELECT 1
   FROM (team_members me
     JOIN team_members them ON ((them.team_id = me.team_id)))
  WHERE ((me.user_id = auth.uid()) AND (them.user_id = ball_groups.created_by)))) :: check none :: to authenticated"
